inscricao,idade,sexo,conclusao_ens_med,tipo_ens_med,treineiro,cadeira_canhoto,gestante,idoso,celular_na_residencia,internet_na_residencia,pessoas_na_residencia,renda_mensal_familiar,nota_ct,nota_ch,nota_lc,nota_mt,nota_redacao,estado,municipio,municipio_id
1406218,22,M,Concluído,1,0,0,0,0,1,B,5,<= 998.00,,,,,,MG,FRANCISCO BADARÓ,3126505
2071951,20,M,Concluído,1,0,0,0,0,1,A,3,<= 998.00,389.0,578.8,568.0,458.4,580.0,PA,BARCARENA,1501303
4979376,17,M,Cursando,1,1,0,0,0,1,B,4,998.00 até 1497.00,442.6,421.8,372.9,507.2,0.0,SP,SÃO PAULO,3550308
1672217,17,F,Cursando,2,0,0,0,0,1,B,4,998.00 até 1497.00,410.0,423.8,433.2,442.9,380.0,MS,NOVO HORIZONTE DO SUL,5006259
4109344,17,M,Cursando,3,0,0,0,0,1,B,6,14970.00 até 19960.00,505.3,511.6,375.3,405.0,540.0,MG,PASSA QUATRO,3147600
172691,17,F,Cursando,2,0,0,0,0,1,B,4,1497.00 até 1996.00,574.8,535.5,559.7,631.3,820.0,TO,PARAÍSO DO TOCANTINS,1716109
3751231,21,M,Concluído,1,0,0,0,0,1,B,1,7984.00 até 8982.00,448.1,669.8,562.8,900.2,680.0,SP,SÃO JOSÉ DOS CAMPOS,3549904
2263842,29,M,Concluído,1,0,0,0,0,1,B,3,1497.00 até 1996.00,,,,,,MA,SÃO LUÍS,2111300
4690183,19,F,Concluído,1,0,0,0,0,1,B,9,<= 998.00,,,,,,PI,PICOS,2208007
2313880,20,F,Concluído,1,0,0,0,0,1,B,4,998.00 até 1497.00,,,,,,SP,SÃO BERNARDO DO CAMPO,3548708
1566670,17,M,Cursando,2,0,0,0,0,0,A,3,<= 998.00,406.3,357.2,431.3,433.6,220.0,CE,MARCO,2307809
1801137,17,M,Concluído,1,0,0,0,0,1,B,4,1996.00 até 2495.00,,,,,,CE,CAPISTRANO,2302909
4959550,19,M,Concluído,1,0,0,0,0,1,B,4,<= 998.00,406.1,518.2,541.9,457.9,260.0,RS,GRAVATAÍ,4309209
3331162,21,M,Concluído,1,0,0,0,0,1,A,6,<= 998.00,473.4,447.0,424.5,426.5,340.0,PA,IRITUIA,1503507
1741425,17,M,Cursando,2,0,0,0,0,1,B,5,2994.00 até 3992.00,454.6,548.8,573.8,432.1,720.0,PE,CAMARAGIBE,2603454
4686062,29,F,Concluído,1,0,0,0,0,1,B,2,9980.00 até 11976.00,,,,,,CE,CRATO,2304202
4590590,22,F,Concluído,1,0,0,0,0,1,B,4,<= 998.00,365.8,389.8,409.6,410.3,280.0,PE,RECIFE,2611606
3139051,15,M,Cursando,1,1,0,0,0,1,A,5,4990.00 até 5988.00,383.3,507.4,604.6,629.3,820.0,PA,MONTE ALEGRE,1504802
3097641,21,M,Concluído,1,0,0,0,0,1,B,2,2994.00 até 3992.00,606.0,593.6,545.4,519.2,620.0,DF,BRASÍLIA,5300108
508253,17,F,Cursando,3,0,0,0,0,1,B,3,1497.00 até 1996.00,532.1,587.2,617.6,612.7,840.0,ES,SERRA,3205002
2817700,17,F,Cursando,3,0,0,0,0,1,B,3,4990.00 até 5988.00,376.9,548.3,547.0,528.9,640.0,RJ,SÃO JOÃO DE MERITI,3305109
1369077,17,F,Cursando,2,0,0,0,0,1,B,3,<= 998.00,,,,,,MG,RIBEIRÃO DAS NEVES,3154606
386502,17,F,Cursando,3,0,0,0,0,1,A,4,<= 998.00,551.2,530.9,549.6,627.0,860.0,PE,LAJEDO,2608800
335437,18,F,Concluído,1,0,0,0,0,1,B,5,998.00 até 1497.00,412.5,439.4,451.6,399.3,480.0,PE,RECIFE,2611606
2824627,27,M,Concluído,1,0,0,0,0,1,B,4,2994.00 até 3992.00,,,,,,PR,UBIRATÃ,4128005
1237864,22,M,Concluído,1,0,0,0,0,1,B,1,<= 998.00,510.7,590.7,589.4,671.6,540.0,PE,RECIFE,2611606
2356493,18,F,Concluído,1,0,0,0,0,1,A,3,3992.00 até 4990.00,470.7,461.3,557.9,445.8,360.0,SP,CARAPICUÍBA,3510609
1149364,18,F,Concluído,1,0,0,0,0,1,B,2,1996.00 até 2495.00,472.6,459.3,485.6,414.6,620.0,BA,LAURO DE FREITAS,2919207
2809296,20,M,Concluído,1,0,0,0,0,1,B,2,<= 998.00,,,,,,MG,UNAÍ,3170404
95206,16,F,Cursando,1,1,0,0,0,1,B,3,998.00 até 1497.00,406.4,533.3,611.6,502.9,640.0,MA,SÃO LUÍS,2111300
3137631,19,F,Concluído,1,0,0,0,0,1,B,5,<= 998.00,,,,,,BA,SERRINHA,2930501
2259243,19,F,Cursando,2,0,0,0,0,1,A,2,<= 998.00,,,,,,CE,IGUATU,2305506
4332313,22,M,Concluído,1,0,0,0,0,1,B,5,3992.00 até 4990.00,443.3,535.1,533.5,666.1,580.0,SP,JUNDIAÍ,3525904
1468641,17,M,Cursando,2,0,0,0,0,1,B,6,2495.00 até 2994.00,587.9,607.9,577.9,640.0,560.0,SP,SÃO PAULO,3550308
914800,20,F,Cursando,2,0,0,0,0,1,B,4,998.00 até 1497.00,434.6,432.0,410.4,381.9,320.0,CE,FORTALEZA,2304400
3792446,22,M,Cursando,2,0,0,0,0,1,B,4,7984.00 até 8982.00,420.3,548.7,458.2,462.4,520.0,RS,SÃO JERÔNIMO,4318408
584588,19,F,Concluído,1,0,0,0,0,1,B,1,<= 998.00,557.2,532.8,585.8,545.7,600.0,SP,ITAJOBI,3521903
758920,21,M,Concluído,1,0,0,0,0,1,A,5,998.00 até 1497.00,,,,,,GO,ITAPACI,5210901
4910606,44,F,Concluído,1,0,0,0,0,1,B,3,998.00 até 1497.00,,,,,,RS,SANTA VITÓRIA DO PALMAR,4317301
4939269,43,F,Concluído,1,0,0,0,0,1,B,4,998.00 até 1497.00,,391.7,519.9,,0.0,MS,NAVIRAÍ,5005707
3503231,17,M,Cursando,3,0,0,0,0,1,B,2,9980.00 até 11976.00,502.8,624.9,571.7,552.7,880.0,BA,FEIRA DE SANTANA,2910800
